"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2012,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2013,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2014,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2015,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2016,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2017,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2018,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2019,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2020,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2021,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2022,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2023,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2024,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2000,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2001,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2002,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2003,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2004,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2005,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2006,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2007,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2008,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2009,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2010,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2011,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2012,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2013,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2014,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2015,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2017,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2018,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2019,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2020,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2021,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2022,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2023,0
"CHN","China","Heilongjiang","admin1","Mortality Rate","Deaths per 100 Thousand",2024,0
