Year,CHIRPS_Precipitation,Region
2013,541.7731502652168,Shirak
2014,602.6869792342186,Shirak
2015,688.7269923686981,Shirak
2016,753.1170879602432,Shirak
2017,559.239460349083,Shirak
2018,753.7824004590511,Shirak
2019,498.9984971858794,Shirak
2020,583.0010071330672,Shirak
2021,535.0490948557854,Shirak
2022,500.1640147268772,Shirak
2023,702.0131169557571,Shirak
2024,977.3259686548263,Shirak
2000,314.73385095596313,Punjab
2001,357.70197132229805,Punjab
2002,295.0414663553238,Punjab
2003,363.59237000346184,Punjab
2004,279.4197573065758,Punjab
2005,368.33816933631897,Punjab
2006,404.51375913619995,Punjab
2007,375.43623489141464,Punjab
2008,440.3966944217682,Punjab
2009,561.6854200363159,Punjab
2010,771.7992732524872,Punjab
2011,1047.6033010482788,Punjab
2012,706.6313592195511,Punjab
2013,853.5413583517075,Punjab
2014,875.7305387854576,Punjab
2015,881.865436732769,Punjab
2016,781.3998159170151,Punjab
2017,673.0430419147015,Punjab
2018,747.6908997707069,Punjab
2019,885.3979148112496,Punjab
2020,706.5467745363712,Punjab
2021,974.0427665710449,Punjab
2022,876.4913170337677,Punjab
2023,944.1322691440582,Punjab
2024,779.6230576621451,Punjab
2000,3560.2275443077087,Misamis Occidental
2001,3437.11665725708,Misamis Occidental
2002,2374.8525500297546,Misamis Occidental
2003,3090.5454005002975,Misamis Occidental
2004,2414.17427277565,Misamis Occidental
2005,2870.5031462311745,Misamis Occidental
2006,2905.9296778440475,Misamis Occidental
2007,3193.6093056201935,Misamis Occidental
2008,4211.623547554016,Misamis Occidental
2009,3733.669195175171,Misamis Occidental
2010,3486.313756465912,Misamis Occidental
2011,4364.954256057739,Misamis Occidental
2012,3344.698228120804,Misamis Occidental
2013,3465.1593149900436,Misamis Occidental
2014,3277.3578318357468,Misamis Occidental
2015,1871.931313276291,Misamis Occidental
2016,2480.6624318361282,Misamis Occidental
2017,3796.1269060373306,Misamis Occidental
2018,2687.732652723789,Misamis Occidental
2019,2079.1806588638574,Misamis Occidental
2020,3317.381388604641,Misamis Occidental
2021,4062.666895031929,Misamis Occidental
2022,3873.0614070296288,Misamis Occidental
2023,3314.477687358856,Misamis Occidental
2024,2991.2970508635044,Misamis Occidental
2000,2115.334450483322,Sarpang
2001,1901.552139043808,Sarpang
2002,1819.557504415512,Sarpang
2003,1795.751002907753,Sarpang
2004,1970.7570147514343,Sarpang
2005,1876.1896760463715,Sarpang
2006,1528.619573354721,Sarpang
2007,2135.0083542466164,Sarpang
2008,1696.2265803813934,Sarpang
2009,1997.2323105335236,Sarpang
2010,2017.7045794725418,Sarpang
2011,1449.137509226799,Sarpang
2012,2415.746007680893,Sarpang
2013,1667.5184195041656,Sarpang
2014,1654.2321627140045,Sarpang
2015,1882.2022306919098,Sarpang
2016,1562.1717165708542,Sarpang
2017,1845.706071138382,Sarpang
2018,1472.8324774503708,Sarpang
2019,1654.8572545167353,Sarpang
2020,1839.2687873840332,Sarpang
2021,1416.051414489746,Sarpang
2022,1524.2747841477394,Sarpang
2023,1306.7223227024078,Sarpang
2024,1394.2565948367119,Sarpang
2000,419.20145308971405,Ain-Defla
2001,465.91533505916595,Ain-Defla
2002,437.32019197940826,Ain-Defla
2003,652.5170449316502,Ain-Defla
2004,547.3131632804871,Ain-Defla
2005,485.4506412744522,Ain-Defla
2006,611.358640819788,Ain-Defla
2007,666.6257706284523,Ain-Defla
2008,616.7392035722733,Ain-Defla
2009,688.8255961537361,Ain-Defla
2010,658.4135506153107,Ain-Defla
2011,689.4935038983822,Ain-Defla
2012,601.6573694348335,Ain-Defla
2013,731.912110209465,Ain-Defla
2014,708.99194252491,Ain-Defla
2015,455.46361315250397,Ain-Defla
2016,648.3354821205139,Ain-Defla
2017,557.8950522840023,Ain-Defla
2018,788.2072247732431,Ain-Defla
2019,522.1965873113058,Ain-Defla
2020,462.0961452151894,Ain-Defla
2021,466.046449303627,Ain-Defla
2022,503.4328597909697,Ain-Defla
2023,443.5095022916794,Ain-Defla
2024,428.2672328729532,Ain-Defla
2000,82.99881839752197,Sool
2001,127.86371225118637,Sool
2002,75.8296331167221,Sool
2003,90.43090099096298,Sool
2004,71.92772960662842,Sool
2005,105.5854823589325,Sool
2006,110.34412574768066,Sool
2007,108.96385073661804,Sool
2008,89.65911865234375,Sool
2009,73.89984273910522,Sool
2010,132.91206002235413,Sool
2011,105.52702975273132,Sool
2012,108.20030999183655,Sool
2013,106.64296042919159,Sool
2014,105.0146664828062,Sool
2015,107.2784343957901,Sool
2016,83.14755702018738,Sool
2017,111.20180642604828,Sool
2018,114.11458820104599,Sool
2019,202.3179441633315,Sool
2020,118.65314263008622,Sool
2021,94.14547491073608,Sool
