Year,CHIRPS_Precipitation,Region
2002,1677.6275615692139,Kwilu
2003,1505.8189911842346,Kwilu
2004,1453.3106400817633,Kwilu
2005,1422.2211038470268,Kwilu
2006,1569.0284086465836,Kwilu
2007,1592.844370663166,Kwilu
2008,1557.1502073705196,Kwilu
2009,1589.2254264056683,Kwilu
2010,1552.976711422205,Kwilu
2011,1639.5386746525764,Kwilu
2012,1499.8499909341335,Kwilu
2013,1592.5485579967499,Kwilu
2014,1559.0578590631485,Kwilu
2015,1413.9099517464638,Kwilu
2016,1526.7173407673836,Kwilu
2017,1440.2101473212242,Kwilu
2018,1604.696783037507,Kwilu
2019,1628.362665116787,Kwilu
2020,1566.462228458784,Kwilu
2021,1466.28169465065,Kwilu
2022,1667.7810708507895,Kwilu
2023,1562.2555159926414,Kwilu
2024,1319.986876377372,Kwilu
2000,1665.4839122593403,Mai-Ndombe
2001,1704.2654914855957,Mai-Ndombe
2002,1616.723696410656,Mai-Ndombe
2003,1715.0611096024513,Mai-Ndombe
2004,1602.0806012749672,Mai-Ndombe
2005,1736.5580395162106,Mai-Ndombe
2006,1701.451252490282,Mai-Ndombe
2007,1680.0155174136162,Mai-Ndombe
2008,1860.543816447258,Mai-Ndombe
2009,1717.9204174876213,Mai-Ndombe
2010,1742.756422996521,Mai-Ndombe
2011,1728.24773812294,Mai-Ndombe
2012,1633.4341841340065,Mai-Ndombe
2013,1622.9506592154503,Mai-Ndombe
2014,1544.8218442499638,Mai-Ndombe
2015,1418.72015696764,Mai-Ndombe
2016,1597.623722821474,Mai-Ndombe
2017,1597.2327349185944,Mai-Ndombe
2018,1642.3203850090504,Mai-Ndombe
2019,1611.717863202095,Mai-Ndombe
2020,1667.884610189125,Mai-Ndombe
2021,1781.0080505609512,Mai-Ndombe
2022,1761.4256044626236,Mai-Ndombe
2023,1605.0604197382927,Mai-Ndombe
2024,1316.9894539368352,Mai-Ndombe
2000,1742.987334549427,Kasai
2001,1512.8723332881927,Kasai
2002,1621.2445801496506,Kasai
2003,1602.4958953857422,Kasai
2004,1560.6397545933723,Kasai
2005,1639.0760531425476,Kasai
2006,1661.399779856205,Kasai
2007,1632.3457389175892,Kasai
2008,1624.5723260641098,Kasai
2009,1671.3114645779133,Kasai
2010,1603.2695541381836,Kasai
2011,1695.1923190951347,Kasai
2012,1608.8186106830835,Kasai
2013,1581.8389492332935,Kasai
2014,1650.174553066492,Kasai
2015,1518.2438962459564,Kasai
2016,1498.6631637215614,Kasai
2017,1670.7730944156647,Kasai
2018,1931.5411360003054,Kasai
2019,1701.0969389379025,Kasai
2020,1569.2345218061027,Kasai
2021,1554.8606971502304,Kasai
2022,1692.773499435976,Kasai
2023,1614.5775845944881,Kasai
2024,1372.0704355378184,Kasai
2000,1871.3790681362152,Sankuru
2001,1602.3177316784859,Sankuru
2002,1675.1156603693962,Sankuru
2003,1644.388135612011,Sankuru
2004,1604.5137979984283,Sankuru
2005,1638.007026731968,Sankuru
2006,1637.8068194389343,Sankuru
2007,1699.0109778046608,Sankuru
2008,1742.8503542542458,Sankuru
2009,1632.0867004096508,Sankuru
2010,1674.9788464307785,Sankuru
2011,1644.0850287377834,Sankuru
2012,1697.7301251590252,Sankuru
2013,1606.376226529479,Sankuru
2014,1686.4762520194054,Sankuru
2015,1487.3896661102772,Sankuru
2016,1685.7751297950745,Sankuru
2017,1733.696076631546,Sankuru
2018,1913.0027936697006,Sankuru
2019,1782.3795568663627,Sankuru
2020,1462.788594936202,Sankuru
2021,1607.1866070628166,Sankuru
2022,1691.8592689707875,Sankuru
2023,1566.693371295929,Sankuru
2024,1370.2125857240712,Sankuru
2000,1256.3324603438377,Haut-Lomami
2001,1264.7249116301537,Haut-Lomami
2002,1314.5321250278503,Haut-Lomami
2003,1210.5058729350567,Haut-Lomami
2004,1425.4145606458187,Haut-Lomami
2005,1283.2811694145203,Haut-Lomami
2006,1301.593199878931,Haut-Lomami
2007,1268.5787857286632,Haut-Lomami
2008,1264.0709453225136,Haut-Lomami
2009,1290.9166405200958,Haut-Lomami
2010,1208.4515462517738,Haut-Lomami
2011,1219.572319149971,Haut-Lomami
2012,1336.8974616527557,Haut-Lomami
2013,1350.9443650245667,Haut-Lomami
2014,1412.6162439584732,Haut-Lomami
2015,1437.7613775730133,Haut-Lomami
2016,1328.1486084610224,Haut-Lomami
2017,1369.0271161943674,Haut-Lomami
2018,1469.6539973318577,Haut-Lomami
2019,1356.4637293093838,Haut-Lomami
2020,1413.6229915962547,Haut-Lomami
2021,1469.3952249512076,Haut-Lomami
2022,1453.3264553286135,Haut-Lomami
2023,1374.9158114269376,Haut-Lomami
2024,1150.3679209167537,Haut-Lomami
2000,1173.6646363437176,Lualaba
2001,1175.185079753399,Lualaba
2002,1360.0207496285439,Lualaba
2003,1189.0121175050735,Lualaba
2004,1288.6959954500198,Lualaba
2005,1318.7214195728302,Lualaba
2006,1261.8367783427238,Lualaba
2007,1290.0806874111295,Lualaba
2008,1272.582067489624,Lualaba
2009,1276.447984188795,Lualaba
2010,1342.4490627497435,Lualaba
2011,1199.1770758926868,Lualaba
2012,1329.984988540411,Lualaba
2013,1441.9832064807415,Lualaba
2014,1398.3551878929138,Lualaba
2015,1240.1348469257355,Lualaba
2016,1194.1849766373634,Lualaba
2017,1386.249770641327,Lualaba
2018,1365.9353367686272,Lualaba
2019,1381.2308059716597,Lualaba
2020,1357.2002103263658,Lualaba
2021,1280.9160441458225,Lualaba
2022,1384.3453092053533,Lualaba
2023,1127.6470685005188,Lualaba
2024,1149.6463268712828,Lualaba
2000,1115.2114706039429,Tanganyka
2001,1206.6232836842537,Tanganyka
2002,1160.4072070121765,Tanganyka
2003,1151.6523239016533,Tanganyka
2004,1124.2903434541076,Tanganyka
2005,1046.6769718825817,Tanganyka
2006,1177.740327835083,Tanganyka
2007,1256.9627409875393,Tanganyka
2008,1373.5667894482613,Tanganyka
2009,1239.7227883040905,Tanganyka
2010,1044.5501181483269,Tanganyka
2011,1151.9888979569077,Tanganyka
2012,1134.673632234335,Tanganyka
2013,1237.352391064167,Tanganyka
2014,1209.096183359623,Tanganyka
2015,1418.101003587246,Tanganyka
2016,1245.6986610591412,Tanganyka
2017,1193.6338674724102,Tanganyka
2018,1237.3187128206162,Tanganyka
2019,1302.1868078472762,Tanganyka
2020,1189.5189363268778,Tanganyka
2021,1148.079243928194,Tanganyka
2022,1191.1461133604475,Tanganyka
2023,1430.3858589828014,Tanganyka
2024,1234.459109749092,Tanganyka
2000,1655.9972883462906,Maniema
2001,1521.7764310836792,Maniema
2002,1498.2938801646233,Maniema
2003,1556.76326957345,Maniema
2004,1502.527773141861,Maniema
2005,1568.5748385190964,Maniema
2006,1601.1159500479698,Maniema
2007,1627.1789726614952,Maniema
2008,1508.9939672350883,Maniema
2009,1638.0756018161774,Maniema
2010,1531.288964778185,Maniema
2011,1662.6851588487625,Maniema
2012,1598.5844812393188,Maniema
2013,1485.3845068216324,Maniema
2014,1517.2582914829254,Maniema
2015,1512.2013953328133,Maniema
2016,1591.8243094086647,Maniema
2017,1637.8759738206863,Maniema
2018,1743.7613135129213,Maniema
2019,1679.7941396664828,Maniema
2020,1433.894823375158,Maniema
2021,1626.7350577116013,Maniema
2022,1652.2820841372013,Maniema
2023,1577.1351849138737,Maniema
2024,1329.9443098026677,Maniema
2000,1435.475343376398,Nord-Kivu
2001,1609.2541358470917,Nord-Kivu
2002,1393.5464919507504,Nord-Kivu
2003,1525.8736297637224,Nord-Kivu
2004,1482.4669194817543,Nord-Kivu
2005,1392.0892350673676,Nord-Kivu
2006,1512.8207786679268,Nord-Kivu
2007,1333.3054401874542,Nord-Kivu
2008,1382.7739825248718,Nord-Kivu
2009,1287.001587331295,Nord-Kivu
2010,1688.4498698711395,Nord-Kivu
2011,1528.7548315525055,Nord-Kivu
2012,1411.9785722494125,Nord-Kivu
2013,1452.759303689003,Nord-Kivu
2014,1316.13623803854,Nord-Kivu
2015,1502.0501857995987,Nord-Kivu
2016,1514.4536811709404,Nord-Kivu
2017,1380.1249274015427,Nord-Kivu
2018,1592.8816980421543,Nord-Kivu
2019,1243.2589233368635,Nord-Kivu
2020,1303.1888696700335,Nord-Kivu
2021,1492.9614960551262,Nord-Kivu
2022,1401.3968052566051,Nord-Kivu
2023,1304.9157645702362,Nord-Kivu
2024,1293.3708636909723,Nord-Kivu
2000,1710.1564842760563,Sud-Kivu
2001,1889.6876302361488,Sud-Kivu
2002,1886.9626840353012,Sud-Kivu
2003,1694.9216815829277,Sud-Kivu
2004,1733.3398818969727,Sud-Kivu
2005,1630.9654402136803,Sud-Kivu
2006,1711.3188309669495,Sud-Kivu
2007,1559.7706933617592,Sud-Kivu
2008,1588.9446290135384,Sud-Kivu
2009,1672.0186940729618,Sud-Kivu
2010,1677.801766037941,Sud-Kivu
2011,1879.3670638799667,Sud-Kivu
2012,1919.8787595033646,Sud-Kivu
2013,1668.1050916016102,Sud-Kivu
2014,1557.1925804316998,Sud-Kivu
2015,1803.0807238519192,Sud-Kivu
2016,1773.6965985298157,Sud-Kivu
2017,1439.6230039596558,Sud-Kivu
2018,1849.0523981451988,Sud-Kivu
2019,1523.3092549294233,Sud-Kivu
2020,1523.5033087776974,Sud-Kivu
2021,1727.567384392023,Sud-Kivu
2022,1711.4543495476246,Sud-Kivu
2023,1519.9389972686768,Sud-Kivu
2024,1270.2590026874095,Sud-Kivu
2000,1715.1813669204712,Bas-Uele
2001,1518.6587612628937,Bas-Uele
2002,1690.4964490532875,Bas-Uele
2003,1737.6611308455467,Bas-Uele
2004,1547.0934429168701,Bas-Uele
2005,1522.7772577404976,Bas-Uele
2006,1740.176723331213,Bas-Uele
2007,1512.8872347474098,Bas-Uele
2008,1681.2038328647614,Bas-Uele
2009,1617.3041501045227,Bas-Uele
2010,1604.3354360610247,Bas-Uele
2011,1578.2055388092995,Bas-Uele
2012,1627.33021402359,Bas-Uele
2013,1771.9009507000446,Bas-Uele
2014,1611.4361547231674,Bas-Uele
2015,1730.0506809949875,Bas-Uele
2016,1634.4270750880241,Bas-Uele
2017,1841.6906221210957,Bas-Uele
2018,1848.5085939069759,Bas-Uele
2019,1741.2368221580982,Bas-Uele
2020,1509.4648123383522,Bas-Uele
2021,1625.5351553559303,Bas-Uele
2022,1698.6692577004433,Bas-Uele
2023,1637.7992994785309,Bas-Uele
2024,1451.3220998055185,Bas-Uele
2000,1810.9476636648178,Haut-Uele
2001,1979.810925245285,Haut-Uele
2002,1817.9972895979881,Haut-Uele
2003,2068.4890033602715,Haut-Uele
2004,1787.4632641077042,Haut-Uele
2005,1873.2944192290306,Haut-Uele
2006,2020.1047019660473,Haut-Uele
2007,1755.6573070585728,Haut-Uele
2008,2019.8515896201134,Haut-Uele
2009,1986.630326718092,Haut-Uele
2010,1891.003562450409,Haut-Uele
2011,1986.9852811098099,Haut-Uele
2012,1907.9769306480885,Haut-Uele
2013,2284.665854871273,Haut-Uele
2014,1829.5092073082924,Haut-Uele
2015,1891.1460193395615,Haut-Uele
2016,1831.2895253300667,Haut-Uele
2017,1970.8446443676949,Haut-Uele
2018,2007.255447536707,Haut-Uele
2019,2036.4994655251503,Haut-Uele
2020,1825.1119839549065,Haut-Uele
2021,1862.1561281085014,Haut-Uele
2022,1900.669543147087,Haut-Uele
2023,2013.6755427718163,Haut-Uele
2024,1738.8728843703866,Haut-Uele
2000,1509.8523701429367,Ituri
2001,1590.4133074879646,Ituri
2002,1347.4587302207947,Ituri
2003,1525.5843483805656,Ituri
2004,1453.932238996029,Ituri
2005,1534.5006679594517,Ituri
2006,1444.4014584422112,Ituri
2007,1456.515711247921,Ituri
2008,1362.522614121437,Ituri
2009,1358.8341420441866,Ituri
2010,1758.0490384697914,Ituri
2011,1565.4319635629654,Ituri
2012,1714.0436440706253,Ituri
2013,1638.9755275249481,Ituri
2014,1486.9919108748436,Ituri
2015,1503.3971920907497,Ituri
2016,1438.0870786905289,Ituri
2017,1423.4651762247086,Ituri
2018,1575.828529149294,Ituri
2019,1440.7148800492287,Ituri
2020,1439.7983494997025,Ituri
2021,1463.9062533080578,Ituri
2022,1447.53613615036,Ituri
2023,1356.521710127592,Ituri
2024,1359.4356887219474,Ituri
2000,1702.6359457969666,Tshopo
2001,1624.8616827726364,Tshopo
2002,1675.988943129778,Tshopo
2003,1774.073406279087,Tshopo
2004,1619.174559533596,Tshopo
2005,1705.4204396009445,Tshopo
2006,1789.8785892128944,Tshopo
2007,1629.7381510138512,Tshopo
2008,1608.9144835472107,Tshopo
2009,1717.5917085409164,Tshopo
2010,1613.4828584194183,Tshopo
2011,1604.7024112939835,Tshopo
2012,1742.399654865265,Tshopo
2013,1744.1684080958366,Tshopo
2014,1602.4970905780792,Tshopo
2015,1552.0071976780891,Tshopo
2016,1626.9495579004288,Tshopo
2017,1595.0964974462986,Tshopo
2018,1760.5716485381126,Tshopo
2019,1709.7936626663432,Tshopo
2020,1419.930842347443,Tshopo
2021,1626.311627149582,Tshopo
2022,1693.1828276216984,Tshopo
2023,1568.2170642614365,Tshopo
2024,1441.5612421818078,Tshopo
2000,1453.7166592031717,Kasai Oriental
2001,1382.5632346868515,Kasai Oriental
2002,1483.9990231990814,Kasai Oriental
2003,1381.077356517315,Kasai Oriental
2004,1468.183739066124,Kasai Oriental
2005,1426.2143177986145,Kasai Oriental
2006,1388.6955560147762,Kasai Oriental
2007,1399.4564737081528,Kasai Oriental
2008,1436.2578704059124,Kasai Oriental
2009,1464.7286484241486,Kasai Oriental
2010,1322.3670576810837,Kasai Oriental
2011,1450.4672684669495,Kasai Oriental
2012,1494.2630456387997,Kasai Oriental
2013,1459.7465937137604,Kasai Oriental
2014,1371.2010509967804,Kasai Oriental
2015,1400.7850877046585,Kasai Oriental
2016,1456.8970973342657,Kasai Oriental
2017,1485.2675950527191,Kasai Oriental
2018,1624.2992607878405,Kasai Oriental
2019,1661.2161221057177,Kasai Oriental
2020,1356.139146713134,Kasai Oriental
2021,1369.3345833420753,Kasai Oriental
2022,1437.6680974066257,Kasai Oriental
2023,1445.2580636441708,Kasai Oriental
2024,1238.5121634414872,Kasai Oriental
2000,1195.3811544775963,Kongo Central
2001,940.3388808965683,Kongo Central
2002,1084.400614976883,Kongo Central
2003,1143.1670809984207,Kongo Central
2004,1092.7570393681526,Kongo Central
2005,1157.0681813284755,Kongo Central
2006,1386.7941484451294,Kongo Central
2007,1462.5570301413536,Kongo Central
2008,1173.0788736343384,Kongo Central
2009,1418.135592699051,Kongo Central
2010,1223.9943121671677,Kongo Central
2011,1321.359831944108,Kongo Central
2012,1145.39742487669,Kongo Central
2013,1127.4553188681602,Kongo Central
2014,1282.9518648982048,Kongo Central
2015,1044.9586218595505,Kongo Central
2016,1211.3931592702866,Kongo Central
2017,1153.4007580429316,Kongo Central
2018,1181.1915317624807,Kongo Central
2019,1296.6358404159546,Kongo Central
2020,1230.7965119059518,Kongo Central
2021,1262.752704411745,Kongo Central
2022,1179.0901673436165,Kongo Central
2023,1418.4579023718834,Kongo Central
2024,1224.9831444495358,Kongo Central
2000,2025.554728358984,Equateur
2001,1876.950695693493,Equateur
2002,1801.021663248539,Equateur
2003,1747.8799652904272,Equateur
2004,1842.177566409111,Equateur
2005,1849.8117264807224,Equateur
2006,1956.6434390544891,Equateur
2007,1951.3583416938782,Equateur
2008,2066.8194745779037,Equateur
2009,2015.9126034379005,Equateur
2010,1878.0519329309464,Equateur
2011,1964.6974516510963,Equateur
2012,1943.8580549359322,Equateur
2013,1781.6393400132656,Equateur
