Year,CHIRPS_Precipitation,Region
2023,1083.1498473286629,Cascades
2024,1105.8361449832537,Cascades
2000,1643.0901791407139,Dayr Az Zor
2001,803.0800354377355,Dayr Az Zor
2002,781.5671512601252,Dayr Az Zor
2003,1917.832148991813,Dayr Az Zor
2004,1632.55963824426,Dayr Az Zor
2005,1843.8752510109107,Dayr Az Zor
2006,1515.5967997318114,Dayr Az Zor
2007,1303.3742216364105,Dayr Az Zor
2008,1647.941030130906,Dayr Az Zor
2009,1481.4094015735427,Dayr Az Zor
2010,610.656712270293,Dayr Az Zor
2011,909.7481391977997,Dayr Az Zor
2012,1235.1098953724418,Dayr Az Zor
2013,844.7807202746465,Dayr Az Zor
2014,1961.6532359877851,Dayr Az Zor
2015,763.249574638751,Dayr Az Zor
2016,962.1360744809901,Dayr Az Zor
2017,1040.6939537878397,Dayr Az Zor
2018,965.8409572514781,Dayr Az Zor
2019,1356.6700498932942,Dayr Az Zor
2020,678.9475870014567,Dayr Az Zor
2021,1273.3486851093976,Dayr Az Zor
2022,744.3048407070025,Dayr Az Zor
2023,1007.1855597802648,Dayr Az Zor
2024,691.4139840964127,Dayr Az Zor
2000,1038.9129079178888,Upper West
2001,1528.4002079769307,Upper West
2002,501.42160187431534,Upper West
2003,954.0467094590446,Upper West
2004,1262.80612261133,Upper West
2005,1558.758695417058,Upper West
2006,1533.0636342151024,Upper West
2007,974.1545752087934,Upper West
2008,1747.727011601254,Upper West
2009,1922.0313139640866,Upper West
2010,1360.780905306325,Upper West
2011,744.4703830397771,Upper West
2012,1161.5151998523572,Upper West
2013,1398.226683792419,Upper West
2014,1710.7749504550513,Upper West
2015,516.3713018024895,Upper West
2016,1960.2332543170344,Upper West
2017,1305.3913794367731,Upper West
2018,1277.1479999931944,Upper West
2019,1395.8809878858283,Upper West
2020,1860.8412141457457,Upper West
2021,1183.1697382163334,Upper West
2022,1893.206566690696,Upper West
2023,1800.685637684077,Upper West
2024,1875.8233119464232,Upper West
2000,1700.1013047085255,Xaignabouly
2001,1618.8374775069274,Xaignabouly
2002,918.5646433404029,Xaignabouly
2003,882.2191653401349,Xaignabouly
2004,1937.667593199427,Xaignabouly
2005,1829.929853782678,Xaignabouly
2006,1260.4282534231124,Xaignabouly
2007,1041.6644863168244,Xaignabouly
2008,1114.9037192620106,Xaignabouly
2009,1384.323492175318,Xaignabouly
2010,1555.5519430806128,Xaignabouly
2011,946.3690167738121,Xaignabouly
2012,1873.4197100294814,Xaignabouly
2013,1087.1190925005671,Xaignabouly
2014,1790.9130659241869,Xaignabouly
